,Title,Price,Rating
441,Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,4
442,A Shard of Ice (The Black Symphony Saga #1),56.63,3
443,A Hero's Curse (The Unseen Chronicles #1),50.49,3
444,23 Degrees South: A Tropical Tale of Changing Whether...,35.79,2
445,"Zero to One: Notes on Startups, or How to Build the Future",34.06,3
446,Why Not Me?,17.76,1
447,When Breath Becomes Air,39.36,2
448,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2
449,The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,5
450,The New Drawing on the Right Side of the Brain,43.02,3
451,"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,4
452,The Martian (The Martian #1),41.39,2
453,The High Mountains of Portugal,51.15,1
454,The Grownup,35.88,1
455,The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,1
456,South of Sunshine,28.93,1
457,Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,5
458,Silence in the Dark (Logan Point #4),58.33,3
459,Shadows of the Past (Logan Point #1),39.67,5
460,Roller Girl,14.1,5
461,Rising Strong,21.82,3
462,Proofs of God: Classical Arguments from Tertullian to Barth,54.21,1
463,Please Kill Me: The Uncensored Oral History of Punk,31.19,4
464,Out of Print: City Lights Spotlight No. 14,53.64,5
465,My Life Next Door (My Life Next Door ),36.39,5
466,Miller's Valley,58.54,2
467,Man's Search for Meaning,29.48,3
468,"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,2
469,Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,3
470,Les Fleurs du Mal,29.04,5
471,Left Behind (Left Behind #1),40.72,2
472,Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,5
473,Kierkegaard: A Christian Missionary to Christians,47.13,1
474,John Vassos: Industrial Design for Modern Life,20.22,4
475,I'll Give You the Sun,56.48,1
476,I Will Find You,44.21,1
477,Hystopia: A Novel,21.96,4
478,Howl and Other Poems,40.45,2
479,History of Beauty,10.29,4
480,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,2
481,Future Shock (Future Shock #1),55.65,5
482,Ender's Game (The Ender Quintet #1),43.64,1
483,Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,1
484,Death by Leisure: A Cautionary Tale,37.51,4
485,Brilliant Beacons: A History of the American Lighthouse,11.45,3
486,Brazen: The Courage to Find the You That's Been Hiding,19.22,2
487,Between the World and Me,56.91,4
488,Being Mortal: Medicine and What Matters in the End,55.06,4
489,"A Murder Over a Girl: Justice, Gender, Junior High",13.2,3
490,32 Yolks,53.63,2
491,"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,5
492,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,3
